Test,IPv4,Ideal,WorkerId,SurveyCode,ID,EndTime,StartTime,Status,DemographicsTime,Gender,GenderSpecify,BirthMonth,RaceWhite,RaceBlack,RaceSouth Asian,RaceEast Asian,RaceArabic or Central Asian,RaceOther,RaceSpecify,Male,Age,ArticleNames,Enjoy
1,127.0.0.1,1,test,Us19I4,1,2020-12-30 21:06:30.376816,2020-12-30 21:06:22.336499,Completed,3.553209,Male,,1956-08-01 00:00:00,0,0,0,0,1,0,,1,64.41341546885695,Nashville-bombing,2.0
1,127.0.0.1,1,test,Us19I4,1,2020-12-30 21:06:30.376816,2020-12-30 21:06:22.336499,Completed,3.553209,Male,,1956-08-01 00:00:00,0,0,0,0,1,0,,1,64.41341546885695,COVID-relief,8.0
1,127.0.0.1,0,test,NMoFxu,2,2020-12-30 21:06:46.273325,2020-12-30 21:06:36.272002,Completed,4.146431,Other,,1996-02-01 00:00:00,0,0,0,0,1,0,,0,24.91170431211499,Nashville-bombing,7
1,127.0.0.1,0,test,NMoFxu,2,2020-12-30 21:06:46.273325,2020-12-30 21:06:36.272002,Completed,4.146431,Other,,1996-02-01 00:00:00,0,0,0,0,1,0,,0,24.91170431211499,COVID-relief,4.0
1,127.0.0.1,1,test,ipfBZv,3,2020-12-30 21:07:08.166463,2020-12-30 21:06:52.481726,Completed,6.434757,Other,,1999-07-01 00:00:00,0,0,1,0,0,0,,0,21.50034223134839,Nashville-bombing,4
1,127.0.0.1,1,test,ipfBZv,3,2020-12-30 21:07:08.166463,2020-12-30 21:06:52.481726,Completed,6.434757,Other,,1999-07-01 00:00:00,0,0,1,0,0,0,,0,21.50034223134839,COVID-relief,5
1,127.0.0.1,0,test,Q5FTEV,4,2020-12-30 21:07:27.096735,2020-12-30 21:07:15.633015,Completed,3.970947,Male,,1909-08-01 00:00:00,0,0,0,0,1,0,,1,111.41409993155374,COVID-relief,4.0
1,127.0.0.1,0,test,Q5FTEV,4,2020-12-30 21:07:27.096735,2020-12-30 21:07:15.633015,Completed,3.970947,Male,,1909-08-01 00:00:00,0,0,0,0,1,0,,1,111.41409993155374,Nashville-bombing,10
1,127.0.0.1,1,test,asMoAd,5,2020-12-30 21:07:44.352903,2020-12-30 21:07:32.998347,Completed,3.731582,Other,-890.013,2019-07-01 00:00:00,0,0,1,0,0,0,,0,1.5003422313483916,COVID-relief,8
1,127.0.0.1,1,test,asMoAd,5,2020-12-30 21:07:44.352903,2020-12-30 21:07:32.998347,Completed,3.731582,Other,-890.013,2019-07-01 00:00:00,0,0,1,0,0,0,,0,1.5003422313483916,Luke-Letlow,5
1,127.0.0.1,0,test,CQY2hq,6,2020-12-30 21:08:01.702701,2020-12-30 21:07:49.633501,Completed,4.6718,Other,,1994-03-01 00:00:00,1,0,0,0,0,0,,0,26.833675564681723,COVID-relief,7
1,127.0.0.1,0,test,CQY2hq,6,2020-12-30 21:08:01.702701,2020-12-30 21:07:49.633501,Completed,4.6718,Other,,1994-03-01 00:00:00,1,0,0,0,0,0,,0,26.833675564681723,Nashville-bombing,2.0
1,127.0.0.1,1,test,yjOuAS,7,2020-12-30 21:08:20.356111,2020-12-30 21:08:07.135181,Completed,4.858174,Other,,1987-06-01 00:00:00,0,0,0,0,1,0,,0,33.582477754962355,COVID-relief,5.0
1,127.0.0.1,1,test,yjOuAS,7,2020-12-30 21:08:20.356111,2020-12-30 21:08:07.135181,Completed,4.858174,Other,,1987-06-01 00:00:00,0,0,0,0,1,0,,0,33.582477754962355,Nashville-bombing,10
1,127.0.0.1,0,test,DLJZuk,8,2020-12-30 21:08:37.687096,2020-12-30 21:08:25.533504,Completed,4.273141,Female,,2016-01-01 00:00:00,0,0,0,1,0,0,,0,4.996577686516085,COVID-relief,7.0
1,127.0.0.1,0,test,DLJZuk,8,2020-12-30 21:08:37.687096,2020-12-30 21:08:25.533504,Completed,4.273141,Female,,2016-01-01 00:00:00,0,0,0,1,0,0,,0,4.996577686516085,Luke-Letlow,7
1,127.0.0.1,1,test,iS9bn0,9,2020-12-30 21:08:54.821995,2020-12-30 21:08:42.887457,Completed,4.456487,Male,,2014-08-01 00:00:00,0,0,0,1,0,0,,1,6.414784394250513,COVID-relief,9
1,127.0.0.1,1,test,iS9bn0,9,2020-12-30 21:08:54.821995,2020-12-30 21:08:42.887457,Completed,4.456487,Male,,2014-08-01 00:00:00,0,0,0,1,0,0,,1,6.414784394250513,Luke-Letlow,9.0
1,127.0.0.1,0,test,fNE3Xf,10,2020-12-30 21:09:13.143319,2020-12-30 21:08:59.979158,Completed,4.332742,Female,,1962-06-01 00:00:00,0,0,0,1,0,0,,0,58.58179329226557,Luke-Letlow,2
1,127.0.0.1,0,test,fNE3Xf,10,2020-12-30 21:09:13.143319,2020-12-30 21:08:59.979158,Completed,4.332742,Female,,1962-06-01 00:00:00,0,0,0,1,0,0,,0,58.58179329226557,Nashville-bombing,5.0
